country,category,mean_q1d,mean_q1e,mean_q1f,mean_q1g,mean_q2d,mean_q2e,mean_q2f,mean_q2g,sd_q1d,sd_q1e,sd_q1f,sd_q1g,sd_q2d,sd_q2e,sd_q2f,sd_q2g,n,upper_q1d,lower_q1d,upper_q1e,lower_q1e,upper_q1f,lower_q1f,upper_q1g,lower_q1g,upper_q2d,lower_q2d,upper_q2e,lower_q2e,upper_q2f,lower_q2f,upper_q2g,lower_q2g
Peru,Financially Insecured,24.074074074074073,20.522388059701495,22.452830188679247,18.455743879472696,63.653483992467045,67.42424242424242,61.48007590132827,69.60600375234522,42.792961401651795,40.42423931264678,41.76655169805327,38.83039341539892,48.14506853906584,46.91016424892821,48.71047273027018,46.03891090448016,544,27.6701509179503,20.477997230197847,23.91941098501624,17.12536513438675,25.962653404703065,18.94300697265543,21.71882906979397,15.192658689151422,67.6993214491261,59.60764653580798,71.36630555501442,63.482179293470416,65.57342670721168,57.38672509544486,73.4748517123392,65.73715579235123
Peru,Financially Secured,33.480176211453745,25.991189427312776,29.867256637168143,26.21145374449339,58.498896247240616,58.35189309576837,54.6875,65.34216335540839,47.24417157100175,43.9069848857895,45.81830585758324,44.02697598812578,49.32686826068885,49.35251298265197,49.83543948921063,47.640615449868854,457,37.81175491025544,29.148597512652053,30.01679838891915,21.965580465706402,34.06810493375899,25.666408340577295,30.248064082261994,22.174843406724786,63.02142685221671,53.97636564226452,62.876774935356025,53.82701125618071,59.256658923920746,50.118341076079254,69.71008998462919,60.974236726187584
St. Kitts and Nevis,Financially Insecured,12.138728323699421,9.248554913294797,17.91907514450867,21.965317919075144,76.74418604651163,51.49700598802395,54.385964912280706,61.76470588235294,32.75247820556477,29.05511124017,38.46252079773781,41.52134446250412,42.36963108778375,50.12789357107934,49.953538785072105,48.7397744235622,174,17.00532789509929,7.272128752299554,13.565773018774292,4.931336807815301,23.634114051012745,12.2040362380046,28.134858919818004,15.795776918332283,83.03977159573414,70.44860049728912,58.94537016483743,44.04864181121047,61.80842219675069,46.96350762781072,69.00681329880894,54.52259846589695
St. Kitts and Nevis,Financially Secured,17.445482866043612,13.65079365079365,27.358490566037734,25.937500000000004,65.21739130434783,47.41935483870968,49.36305732484077,51.58227848101266,38.00926268482772,34.38733969840816,44.6500988965127,43.89781344302207,47.702177781901355,50.01409134349791,50.075744910311435,50.05422014967412,322,21.59710272422395,13.293863007863274,17.406803430454325,9.894783871132978,32.23546591769255,22.481515214382913,30.732305822252755,21.142694177747252,70.42773464091677,60.00704796777889,52.882220470496726,41.95648920692263,54.83265716177231,43.893457487909224,57.04952724303792,46.115029718987394
St. Lucia,Financially Insecured,55.49132947976878,44.73684210526316,41.77215189873418,50.33557046979866,59.76331360946746,33.33333333333333,35.25179856115108,32.6530612244898,49.84179838494457,49.8865914966508,49.47519467706486,50.16750465679883,49.183241710415054,47.30499167912661,47.94820477290715,47.05471211627525,174,62.89718356920858,48.08547539032898,52.14935187849162,37.32433233203469,49.12353336364636,34.420770433822,57.78982034758339,42.881320592013935,67.07131459570412,52.4553126232308,40.362250375451914,26.304416291214743,42.37628884651754,28.127308275784614,39.64478992300709,25.661332525972508
St. Lucia,Financially Secured,43.90243902439025,44.827586206896555,56.03448275862068,57.45614035087719,42.51012145748988,24.336283185840706,27.601809954751133,29.646017699115045,49.72798081221006,49.83926994630254,49.74183237520499,49.54971522935941,49.53621179756765,43.006482326782944,44.80406633717008,45.77100884552866,247,50.104105695325025,37.70077235345547,51.04313194757166,38.61204046622145,62.237876883096966,49.8310886341444,63.635575197682314,51.27670550407207,48.6878722668272,36.33237064815256,29.69969959092964,18.972866780751772,33.1894063217718,22.014213587730467,35.35420321994518,23.937832178284918
St. Vincent and the Grenadines,Financially Insecured,26.82926829268293,19.34306569343066,34.92647058823529,38.68613138686132,45.588235294117645,47.58064516129033,42.4,47.983870967741936,44.38447068822519,39.57104020368342,47.76165182741553,48.792263817353614,49.89678950371838,50.042426821380026,49.51816023209146,50.060365806005215,296,31.88566640879536,21.7728701765705,23.8511048800193,14.83502650684202,40.36760625072794,29.48533492574264,44.24467713543951,33.12758563828313,51.2726115756082,39.90385901262709,53.28161283718621,41.879677485394446,48.04124181788035,36.75875818211965,53.686882300949875,42.280859634533996
St. Vincent and the Grenadines,Financially Secured,22.5130890052356,21.390374331550802,38.7434554973822,29.84293193717277,42.70833333333333,33.714285714285715,44.623655913978496,33.15217391304348,41.876618100865315,41.11605020266082,48.84445932697036,45.87714073353762,49.59478030858584,47.40906081772816,49.84427945240671,47.20445815349666,192,28.436570804890607,16.58960720558059,27.206273181418297,15.574475481683306,45.652544123889975,31.834366870874426,36.33229092745155,23.35357294689399,49.72355547491611,35.693111191750546,40.42033605044568,27.008235378125754,51.674169913033936,37.573141914923056,39.82928303540205,26.475064790684904
Suriname,Financially Insecured,27.055702917771885,32.763532763532766,35.62874251497006,37.5,50.69637883008357,30.538922155688624,28.18181818181818,27.160493827160494,44.48379546695122,47.002108561193396,47.96200836560153,48.48449513665906,50.06492726607882,46.12631156568432,45.05683985093562,44.54752408296742,380,31.5283652122041,22.58304062333967,37.489401060374554,28.037664466690977,40.451124780922214,30.806360249017903,42.37491615735503,32.62508384264497,55.7302009243076,45.66255673585953,35.17673267422549,25.90111163715176,32.71209772726009,23.651538636376273,31.639563771275924,22.681423883045063
Suriname,Financially Secured,27.350427350427353,37.83783783783784,39,56.19047619047619,67.82608695652173,27.835051546391753,33.734939759036145,24.390243902439025,44.767467451902796,48.718213980649715,49.020713000019725,49.85326454052919,46.91879152015395,45.05151690296046,47.56794481666927,43.20772567451877,118,35.42793902221432,19.272915678640388,46.62819307694321,29.047482598732465,47.844935931262924,30.15506406873708,65.185631581731,47.19532079922138,76.29176767740142,59.36040623564204,35.96381500629356,19.70628808648995,42.31774891330366,25.15213060476863,32.18632727084186,16.594160534036188
